date_time v002 v003 v004 v005 v012 v016 v017 v018 v019 v020 v021 v022 v029 v030 v035 v036 v037 v038 v044 v047 v048 v051 v052 v053 v061 v062 v063 v064 v070 v073 v074 v081 v082 v083 v084 v085 v086 v087 v088 v089 v090 v091 
196992416249260 20 20 0 2000 25 0 0 0 0 0 0 484 0 0 0 0 0 0 0 0 0 125.2 125 124.7 0 0 0 0 0 0 0 0 0 124.4 125 124.6 125 80 80 82.4 80 65.3 
196992416249270 20 20 8 2000 25 0 0 0 0 0 0 483 0 0 0 0 0 0 0 0 0 125.2 125 125 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80 80 82.4 80 65.3 
196992416249280 20 20 648 2000 25 0 124 0 0 0 0 32 0 0 0 0 0 0 0 0 0 124.8 125 125 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80 80 82.4 80 65.3 
196992416249290 20 20 1866 2000 25 32 132 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.5 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80 80 82.4 80 65.3 
196992416249300 21.5 20 1979 2000 25 16 131 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80 80 82.4 80 65.3 
196992416249310 21.5 20 1995 2000 25 8 123 0 0 0 0 0 0 0 0 0 0 0 0 0 0 125.2 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80 80 82.4 80 65.3 
196992416249320 21.5 20 1998 2000 25 6 118 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.5 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80 80 82.4 80 65.3 
196992416249330 21.5 20 1999 2000 25 4 68 0 0 0 0 8 0 0 0 0 0 0 0 0 0 125.2 125 124.5 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80 80 82.4 80 65.3 
196992416249340 21.5 20 1999 2000 25 1 38 0 0 0 0 15 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80 80 82.4 80 64.9 
196992416249350 18.9 20 1998 2000 25 3 6 0 0 0 0 18 0 0 0 0 0 0 0 0 0 125.2 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80 80 82.4 80 64.9 
196992416249360 18.9 20 1998 2000 25 2 2 0 0 0 0 19 0 0 0 0 0 0 0 0 0 124.8 125 124.5 0 0 0 0 0 0 0 0 0 124.4 125 125 125 80 80 82.4 80 64.9 
196992416249370 18.9 20 1997 2000 25 20 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80 80 82.4 80 64.9 
196992416249380 18.9 20 1999 2000 25 13 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 125 125 80 80 82.4 80 64.9 
196992416249390 18.9 20 1997 2000 25 10 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 125.2 125 124.6 125 80 80 82.4 80 64.9 
196992416249400 20.1 20 1998 2000 25 12 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 124.4 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 80 80 82.4 80 64.9 
